name,abbrv,abbrv3,region,pfull,pcode,pnum,pkatakana
aichi,AC,AIC,CHUBU,愛知県,A23000,23,ｱｲﾁ
aomori,AM,AOM,TOHOKU,青森県,A02000,2,ｱｵﾓﾘ
akita,AK,AKT,TOHOKU,秋田県,A05000,5,ｱｷﾀ
ishikawa,IS,ISH,HOKURIKU,石川県,A17000,17,ｲｼｶﾜ
ibaraki,IB,IBR,KANTO,茨城県,A08000,8,ｲﾊﾞﾗｷ
iwate,IW,IWT,TOHOKU,岩手県,A03000,3,ｲﾜﾃ
ehime,EH,EHI,SHIKOKU,愛媛県,A38000,38,ｴﾋﾒ
oita,OI,OIT,KYUSHU,大分県,A44000,44,ｵｵｲﾀ
osaka,OS,OSK,KANSAI,大阪府,A27000,27,ｵｵｻｶ
okayama,OK,OKY,CHUGOKU,岡山県,A33000,33,ｵｶﾔﾏ
okinawa,ON,OKN,KYUSHU,沖縄県,A47000,47,ｵｷﾅﾜ
kagawa,KW,KGW,SHIKOKU,香川県,A37000,37,ｶｶﾞﾜ
kagoshima,KG,KGS,KYUSHU,鹿児島県,A46000,46,ｶｺﾞｼﾏ
kanagawa,KN,KNG,KANTO,神奈川県,A14000,14,ｶﾅｶﾜ
kanagawa,KN,KNG,KANTO,神奈川県,A14000,14,ｶﾅｶﾞﾜ
gifu,GF,GIF,CHUBU,岐阜県,A21000,21,ｷﾞﾌ
kyoto,KT,KYT,KANSAI,京都府,A26000,26,ｷｮｳﾄ
kumamoto,KM,KMM,KYUSHU,熊本県,A43000,43,ｸﾏﾓﾄ
gunma,GM,GUM,KANTO,群馬県,A10000,10,ｸﾞﾝﾏ
kochi,KC,KOC,KYUSHU,高知県,A39000,39,ｺｳﾁ
saitama,ST,STM,KANTO,埼玉県,A11000,11,ｻｲﾀﾏ
saga,SA,SAG,KYUSHU,佐賀県,A41000,41,ｻｶﾞ
shiga,SI,SIG,KANSAI,滋賀県,A25000,25,ｼｶﾞ
shizuoka,SZ,SZO,CHUBU,静岡県,A22000,22,ｼｽﾞｵｶ
shimane,SM,SMN,CHUGOKU,島根県,A32000,32,ｼﾏﾈ
chiba,CH,CHB,KANTO,千葉県,A12000,12,ﾁﾊﾞ
tokyo,TO,TYO,KANTO,東京都,A13000,13,ﾄｳｷｮ
tokushima,TK,TKS,KANTO,徳島県,A36000,36,ﾄｸｼﾏ
tochigi,TC,TCG,KANTO,栃木県,A09000,9,ﾄﾁｷﾞ
tottori,TT,TTR,CHUGOKU,鳥取県,A31000,31,ﾄｯﾄﾘ
toyama,TY,TYM,HOKURIKU,富山県,A16000,16,ﾄﾔﾏ
nagasaki,NS,NGS,KYUSHU,長崎県,A42000,42,ﾅｶﾞｻｷ
nagano,NN,NGN,CHUBU,長野県,A20000,20,ナガノ
nagano,NN,NGN,CHUBU,長野県,A20000,20,ﾅｶﾞﾉ
nara,NR,NAR,KANSAI,奈良県,A29000,29,ﾅﾗ
niigata,NG,NGT,HOKURIKU,新潟県,A15000,15,ﾆｲｶﾞﾀ
hyogo,HG,HGO,KANSAI,兵庫県,A28000,28,ﾋｮｳｺ
hyogo,HG,HGO,KANSAI,兵庫県,A28000,28,ﾋｮｳｺﾞ
hiroshima,HR,HRS,CHUGOKU,広島県,A34000,34,ﾋﾛｼﾏ
fukui,FI,FKI,HOKURIKU,福井県,A18000,18,ﾌｸｲ
fukuoka,FO,FKO,KYUSHU,福岡県,A40000,40,ﾌｸｵｶ
fukushima,FS,FKS,KANTO,福島県,A07000,7,ﾌｸｼﾏ
hokkaido,HK,HKD,HOKKAIDO,北海道,A01000,1,ﾎｯｶｲ
hokkaido,HK,HKD,HOKKAIDO,北海道,A01000,1,ﾎﾂｶｲ
mie,ME,MIE,KANSAI,三重県,A24000,24,ﾐｴ
miyagi,MG,MYG,TOHOKU,宮城県,A04000,4,ﾐﾔｷﾞ
miyazaki,MZ,MYZ,KYUSHU,宮崎県,A45000,45,ﾐﾔｻﾞｷ
yamagata,YT,YGT,TOHOKU,山形県,A06000,6,ﾔﾏｶﾞﾀ
yamaguchi,YU,YGU,CHUGOKU,山口県,A35000,35,ﾔﾏｸﾞﾁ
yamanashi,YN,YMN,KANTO,山梨県,A19000,19,ﾔﾏﾅｼ
wakayama,WK,WKY,KANSAI,和歌山県,A30000,30,ﾜｶﾔﾏ